[2025-12-17 23:37:39 : INFO] - Cache for author page URL: https://partumdesign.com.mx/author/partum-design-agency/ associated with post_type: page and Title: "KAFI Servicios Aéreos" has been purged, triggered by action: save_post 
[2025-12-17 23:37:39 : INFO] - Cache for URL: https://partumdesign.com.mx/kafiserviciosaereos/ has been purged, triggered by action: save_post 
[2025-12-17 23:37:39 : INFO] - Cache for author page URL: https://partumdesign.com.mx/author/partum-design-agency/ associated with post_type: page and Title: "KAFI Servicios Aéreos" has been purged, triggered by action: save_post 
[2025-12-17 23:37:39 : INFO] - Cache for URL: https://partumdesign.com.mx/kafiserviciosaereos/ has been purged, triggered by action: save_post 
[2025-12-17 23:37:39 : INFO] - Cache for author page URL: https://partumdesign.com.mx/author/partum-design-agency/ associated with post_type: page and Title: "KAFI Servicios Aéreos" has been purged, triggered by action: save_post 
[2025-12-22 15:24:22 : INFO] - Cache for URL: https://partumdesign.com.mx/kafiserviciosaereos/ has been purged, triggered by action: save_post 
[2025-12-22 15:24:22 : INFO] - Cache for author page URL: https://partumdesign.com.mx/author/partum-design-agency/ associated with post_type: page and Title: "KAFI Servicios Aéreos" has been purged, triggered by action: save_post 
[2025-12-22 15:24:22 : INFO] - Cache for URL: https://partumdesign.com.mx/kafiserviciosaereos/ has been purged, triggered by action: save_post 
[2025-12-22 15:24:22 : INFO] - Cache for author page URL: https://partumdesign.com.mx/author/partum-design-agency/ associated with post_type: page and Title: "KAFI Servicios Aéreos" has been purged, triggered by action: save_post 
[2025-12-22 15:24:22 : INFO] - Cache for URL: https://partumdesign.com.mx/kafiserviciosaereos/ has been purged, triggered by action: save_post 
[2025-12-22 15:24:22 : INFO] - Cache for author page URL: https://partumdesign.com.mx/author/partum-design-agency/ associated with post_type: page and Title: "KAFI Servicios Aéreos" has been purged, triggered by action: save_post 
[2025-12-22 17:18:55 : INFO] - Cache for URL: https://partumdesign.com.mx/kafiserviciosaereos/ has been purged, triggered by action: save_post 
[2025-12-22 17:18:55 : INFO] - Cache for author page URL: https://partumdesign.com.mx/author/partum-design-agency/ associated with post_type: page and Title: "KAFI Servicios Aéreos" has been purged, triggered by action: save_post 
[2025-12-22 17:18:55 : INFO] - Cache for URL: https://partumdesign.com.mx/kafiserviciosaereos/ has been purged, triggered by action: save_post 
